Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Spectrogram 1	1	8.430209131	12.385784966	1546.392	5567.010	2777.344	3.9556	-46.64			vocal	no drumming	god
2	Spectrogram 1	1	14.397826788	16.241375707	1793.814	4082.474	2812.500	1.8435	-49.63			vocal	no drumming	med
3	Spectrogram 1	1	19.406021252	19.871383115	1886.598	4793.814	2882.812	0.4654	-48.27			vocal	no drumming	med
4	Spectrogram 1	1	22.479587714	22.730167178	1917.526	3835.052	2835.938	0.2506	-49.71			vocal	no drumming	med
5	Spectrogram 1	1	24.681107296	25.003280893	1731.959	4082.474	2800.781	0.3222	-51.19			vocal	before	bad
6	Spectrogram 1	1	26.524656214	28.708277263	1670.103	5505.155	2800.781	2.1836	-46.22			vocal	during	bad
7	Spectrogram 1	1	32.539400677	32.879472808	1608.247	4701.031	2835.938	0.3401	-49.74			vocal	no drumming	med
8	Spectrogram 1	1	37.649431902	39.779357352	1917.526	4886.598	2894.531	2.1299	-49.07			vocal	no drumming	bad
9	Spectrogram 1	1	47.588031611	50.415999855	1484.536	5814.433	2824.219	2.8280	-48.42			vocal	no drumming	med
10	Spectrogram 1	1	55.619578279	55.959650410	1546.392	4701.031	2871.094	0.3401	-48.60			vocal	no drumming	med
11	Spectrogram 1	1	88.125715771	94.318608254	1415.385	6276.923	2835.938	6.1929	-48.82			vocal	during	med
12	Spectrogram 1	1	96.162157172	96.520127836	1846.154	4984.615	2812.500	0.3580	-50.94			vocal	after	bad
13	Spectrogram 1	1	112.800896050	113.069374048	1353.846	4923.077	2906.250	0.2685	-49.12			vocal	no drumming	med
14	Spectrogram 1	1	117.056824442	117.754867237	1661.538	4861.538	2871.094	0.6980	-49.59			vocal	no drumming	med
