Video	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	sound	Behavior	Tiempo	Calidad	selec.file	Fecha	Grupo	bat_id
C0106	1	Spectrogram 1	1	86.270.268.225	86.992	1.162.228	8.949.153	1.933.594	0.7217	-47.99	no vocal	drumming	NA	NA	C0106.Table.1.selections.txt	24-ene-24	6	6231
C0107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	NA	NA	NA	24-ene-24	3	4334
C0108	1	Spectrogram 1	1	2.319.755.327	350.229.399	1.793.814	5.230.024	2.671.875	11.825	-47.65	vocal	drumming	during	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	2	Spectrogram 1	1	4.890.140.392	4.977.481.794	1.510.896	4.474.576	2.765.625	0.0873	-48.53	vocal	drumming	during	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	5	Spectrogram 1	1	5.618.817.233	5.730.890.904	929.782	4.823.245	2.683.594	0.1121	-47.57	vocal	drumming	during	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	7	Spectrogram 1	1	6.331.895.484	6.617.322.689	929.782	4.939.467	2.648.438	0.2854	-49.04	vocal	drumming	during	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	8	Spectrogram 1	1	7.662.549.074	7.855.513.945	1.220.339	4.823.245	2.800.781	0.193	-49.34	vocal	drumming	during	bad	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	10	Spectrogram 1	1	16.586.214.193	20.962.396.752	2.041.237	6.247.423	3.703.125	43.762	-44.21	vocal	drumming	during	bad	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	11	Spectrogram 1	1	30.978.799.604	32.326.584.744	1.484.536	5.257.732	2.730.469	13.478	-47.66	vocal	drumming	during	bad	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	12	Spectrogram 1	1	34.238.477.747	34.717.023.295	1.484.536	7.175.258	2.882.812	0.4785	-41.87	vocal	drumming	during	bad	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	13	Spectrogram 1	1	41.138.893.028	42.229.399.409	1.546.392	6.664.939	2.777.344	10.905	-47.67	vocal	drumming	during	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	14	Spectrogram 1	1	50.962.123.565	51.995.282.374	1.744.748	5.938.144	2.882.812	10.332	-51.53	vocal	drumming	during	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	15	Spectrogram 1	1	62.463.973.412	63.596.893.608	1.521.691	5982.84	2812.5	11.329	-50.8	vocal	drumming	during	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	18	Spectrogram 1	1	64.393.164.692	64.527.273.506	1.360.825	5.628.866	2.800.781	0.1341	-49.46	vocal	drumming	after	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	16	Spectrogram 1	1	89.267.795.833	89.544.688.892	2.209.451	5.852.723	2.894.531	0.2769	-51.35	vocal	drumming	during	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0108	19	Spectrogram 1	1	106.669.857.977	106.854.257.596	1.670.103	4.886.598	2.824.219	0.1844	-50.02	vocal	drumming	during	med	C0108.Table.1.selections.txt	24-ene-24	3	4346
C0109	1	Spectrogram 1	1	7.972.951.793	925.229.461	1.731.959	4.824.742	2.800.781	12.793	-50.72	vocal	drumming	during	med	C0109.Table.1.selections.txt	24-ene-24	3	9490
C0109	2	Spectrogram 1	1	1.317.660.432	13.658.589.288	1.762.887	4.793.814	3.175.781	0.482	-50.87	vocal	drumming	during	med	C0109.Table.1.selections.txt	24-ene-24	3	9490
C0109	3	Spectrogram 1	1	20.417.497.403	20.774.523.306	2.103.093	4.762.887	2.953.125	0.357	-54.99	vocal	no drumming	no drumming	bad	C0109.Table.1.selections.txt	24-ene-24	3	9490
C0109	4	Spectrogram 1	1	33.729.552.748	34.306.744.623	1.484.536	6.680.412	2.777.344	0.5772	-54.87	vocal	drumming	during	bad	C0109.Table.1.selections.txt	24-ene-24	3	9490
C0109	5	Spectrogram 1	1	59.760.811.578	60.064.283.595	1.350.384	3.928.389	1687.5	0.3035	-60.02	no vocal	drumming	NA		C0109.Table.1.selections.txt	24-ene-24	3	9490
C0109	6	Spectrogram 1	1	96.291.766.984	96.779.702.384	1.902.813	5.401.535	3.070.312	0.4879	-55.58	vocal	no drumming	no drumming	bad	C0109.Table.1.selections.txt	24-ene-24	3	9490
C0110	1	Spectrogram 1	1	407.452.355	8.216.024.017	1.289.003	6.199.488	2.636.719	41.415	-52.14	vocal	no drumming	no drumming	bad	C0110.Table.1.selections.txt	24-ene-24	4	6209
C0110	2	Spectrogram 1	1	16.783.104.056	18.877.656.016	1.350.384	5.401.535	2.683.594	20.946	-50.64	vocal	no drumming	no drumming	bad	C0110.Table.1.selections.txt	24-ene-24	4	6209
C0110	3	Spectrogram 1	1	3.059.892.852	34.335.799.631	1166.24	6.936.061	2.636.719	37.369	-50.37	vocal	no drumming	no drumming	bad	C0110.Table.1.selections.txt	24-ene-24	4	6209
C0110	4	Spectrogram 1	1	45.580.765.582	4.847.267.539	1.411.765	6.690.537	2.660.156	28.919	-52.71	vocal	no drumming	no drumming	bad	C0110.Table.1.selections.txt	24-ene-24	4	6209
C0110	5	Spectrogram 1	1	55.286.169.126	57.832.953.896	1.780.051	5.585.678	2.742.188	25.468	-53.16	vocal	no drumming	no drumming	bad	C0110.Table.1.selections.txt	24-ene-24	4	6209
C0110	6	Spectrogram 1	1	63.850.515.032	67.361.269.738	1.227.621	5.769.821	2.683.594	35.108	-51.21	vocal	no drumming	no drumming	bad	C0110.Table.1.selections.txt	24-ene-24	4	6209
C0110	7	Spectrogram 1	1	75.037.408.021	76.477.412.493	1.473.146	5156.01	2.765.625	1.44	-51.29	vocal	no drumming	no drumming	bad	C0110.Table.1.selections.txt	24-ene-24	4	6209
C0110	8	Spectrogram 1	1	8.992.191.427	92.218.780.908	1.657.289	4.849.105	2.777.344	22.969	-51.84	vocal	no drumming	no drumming	bad	C0110.Table.1.selections.txt	24-ene-24	4	6209
C0110	9	Spectrogram 1	1	105.496.443.816	107.138.762.967	1.657.289	6.199.488	2.765.625	16.423	-52.13	vocal	no drumming	no drumming	bad	C0110.Table.1.selections.txt	24-ene-24	4	6209
C0111	1	Spectrogram 1	1	4.978.040.062	8.480.661.022	1.468.354	4.202.532	2.613.281	35.026	-50.8	vocal	drumming	during	med	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	2	Spectrogram 1	1	24.793.202.833	25.078.823.555	1.595.908	4.726.343	2.730.469	0.2856	-50.72	vocal	drumming	before	bad	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	3	Spectrogram 1	1	2.705.915.145	27.434.028.647	1.289.003	5.892.583	3.234.375	0.3749	-40.95	vocal	drumming	during	bad	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	4	Spectrogram 1	1	28.903.785.278	30.004.615.144	1718.67	5.647.059	2.882.812	11.008	-50.13	vocal	drumming	during		C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	5	Spectrogram 1	1	40.223.966.201	40.765.455.486	1.534.527	5.462.916	2.800.781	0.5415	-51.9	vocal	no drumming	no drumming	bad	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	6	Spectrogram 1	1	46.212.512.076	46.688.546.612	1.289.003	4.910.486	2.777.344	0.476	-52.04	vocal	no drumming	no drumming	bad	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	7	Spectrogram 1	1	50.838.406.716	51.326.342.116	1.350.384	5.953.964	2.824.219	0.4879	-48.82	vocal	drumming	during	med	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	8	Spectrogram 1	1	63.787.819.432	64.073.440.154	1.104.859	5.892.583	2.730.469	0.2856	-49.66	vocal	drumming	before	med	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	9	Spectrogram 1	1	6.458.517.728	64.942.203.183	1.289.003	6.506.394	2.777.344	0.357	-50.85	vocal	drumming	during	bad	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	10	Spectrogram 1	1	83.395.810.049	84.633.499.843	920.716	5.892.583	2.742.188	12.377	-52.73	vocal	no drumming	no drumming	bad	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	11	Spectrogram 1	1	9.652.614.106	96.704.654.011	1.289.003	4.051.151	2.730.469	0.1785	-52.72	vocal	no drumming	no drumming	bad	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0111	12	Spectrogram 1	1	117.359.899.534	1.177.288.263	1.319.693	5.309.463	2.566.406	0.3689	-52.58	vocal	no drumming	no drumming	bad	C0111.Table.1.selections.txt	24-ene-24	11	5125
C0112	1	Spectrogram 1	1	2.017.198.708	3.028.767.379	1.243.362	5.140.269	2531.25	10.116	-48.4	vocal	drumming	during	god	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	2	Spectrogram 1	1	6.490.898.974	9.477.435.052	1.793.814	5.690.722	2.929.688	29.865	-48.08	vocal	drumming	during	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	3	Spectrogram 1	1	14.136.771.437	14.517.599.066	1.411.765	4.173.913	2.636.719	0.3808	-50.19	vocal	drumming	after	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	4	Spectrogram 1	1	20.903.109.965	21.182.780.255	1.473.146	4.910.486	2.695.312	0.2797	-50.21	vocal	no drumming	no drumming	bad	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	5	Spectrogram 1	1	28.588.064.926	28.867.735.216	1.411.765	3.805.627	2.636.719	0.2797	-48.81	vocal	drumming	during	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	6	Spectrogram 1	1	31.047.591.933	32.737.514.538	1.227.621	4.910.486	2.695.312	16.899	-47.93	vocal	drumming	before	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	8	Spectrogram 1	1	44.742.402.951	45.402.900.871	1166.24	4.971.867	2.589.844	0.6605	-47.53	vocal	drumming	during	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	9	Spectrogram 1	1	50.298.426.282	50.625.700.026	1.411.765	5.217.391	2.941.406	0.3273	-48.52	vocal	no drumming	no drumming	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	10	Spectrogram 1	1	54.386.372.864	54.927.862.149	1.043.478	4.480.818	2.472.656	0.5415	-49.7	vocal	no drumming	no drumming	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	11	Spectrogram 1	1	75.277.378.263	75.896.223.161	1166.24	4.603.581	2.484.375	0.6188	-48.77	vocal	drumming	after	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	12	Spectrogram 1	1	93.656.354.505	94.007.429.976	1166.24	4.358.056	2.753.906	0.3511	-50.26	vocal	drumming	before	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0112	13	Spectrogram 1	1	102.846.718.246	10.317.399.199	1.227.621	4.603.581	2.777.344	0.3273	-49.54	vocal	no drumming	no drumming	med	C0112.Table.1.selections.txt	24-ene-24	4	3077
C0113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	no drumming	NA	NA	25-ene-24	1	3072
C0114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	no drumming	NA	NA	25-ene-24	1	4421
C0115	1	Spectrogram 1	1	18.787.077.658	19.304.765.217	1.841.432	4.664.962	2.800.781	0.5177	-51.42	vocal	no drumming	NA	bad	C0115.Table.1.selections.txt	25-ene-24	9	5103
C0115	2	Spectrogram 1	1	3.380.412.986	34.305.762.787	1.329.897	3.402.062	2.753.906	0.5016	-53.19	vocal	no drumming	NA	bad	C0115.Table.1.selections.txt	25-ene-24	9	5103
C0115	3	Spectrogram 1	1	40.275.050.598	40.816.539.883	1.411.765	4.480.818	2.777.344	0.5415	-53.76	vocal	drumming	during	bad	C0115.Table.1.selections.txt	25-ene-24	9	5103
C0115	4	Spectrogram 1	1	48.344.987.028	48.821.021.565	1.442.455	5.063.939	2.789.062	0.476	-53.53	vocal	drumming	during	bad	C0115.Table.1.selections.txt	25-ene-24	9	5103
C0115	5	Spectrogram 1	1	60.841.211.877	61.144.683.894	1.350.384	4.787.724	2.777.344	0.3035	-52.97	vocal	no drumming	no drumming	bad	C0115.Table.1.selections.txt	25-ene-24	9	5103
C0116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	no drumming	NA	NA	25-ene-24	9	4277
C0117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	no drumming	NA	NA	25-ene-24	9	4300
C0118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	no drumming	NA	NA	25-ene-24	9	7919
C0119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	no drumming	NA	NA	25-ene-24	5	5119
C0120	1	Spectrogram 1	1	3.476.374.532	772.498.277	1.841.432	6.076.726	2.835.938	42.486	-51.56	vocal	no drumming	no drumming	baja	C0120.Table.1.selections.txt	25-ene-24	5	4301
C0120	2	Spectrogram 1	1	13.320.067.099	14.034.118.904	1.595.908	6.076.726	2.800.781	0.7141	-48.66	vocal	no drumming	no drumming	med	C0120.Table.1.selections.txt	25-ene-24	5	4301
C0120	3	Spectrogram 1	1	18.135.848.354	18.403.617.781	1.780.051	5.831.202	2.777.344	0.2678	-46.49	vocal	no drumming	no drumming	med	C0120.Table.1.selections.txt	25-ene-24	5	4301
C0120	4	Spectrogram 1	1	39.075.417.486	39.343.186.913	1.473.146	7979.54	2.765.625	0.2678	-46.94	vocal	no drumming	no drumming	med	C0120.Table.1.selections.txt	25-ene-24	5	4301
C0120	5	Spectrogram 1	1	52.388.775.052	52.656.544.479	1.780.051	5708.44	2.777.344	0.2678	-47.73	vocal	no drumming	no drumming	med	C0120.Table.1.selections.txt	25-ene-24	5	4301
C0120	6	Spectrogram 1	1	54.870.105.074	55.096.221.478	2.025.575	5.769.821	2.765.625	0.2261	-48.63	vocal	no drumming	no drumming	med	C0120.Table.1.selections.txt	25-ene-24	5	4301
C0120	7	Spectrogram 1	1	63.002.103.376	63.252.021.508	1.411.765	5.953.964	2.789.062	0.2499	-48.09	vocal	no drumming	no drumming	med	C0120.Table.1.selections.txt	25-ene-24	5	4301
C0120	8	Spectrogram 1	1	71.053.037.479	71.332.707.769	1718.67	5.524.297	2.753.906	0.2797	-48.43	vocal	no drumming	no drumming	med	C0120.Table.1.selections.txt	25-ene-24	5	4301
C0120	9	Spectrogram 1	1	82.185.793.148	82.411.909.553	1.473.146	5.401.535	2.765.625	0.2261	-47.37	vocal	no drumming	no drumming	med	C0120.Table.1.selections.txt	25-ene-24	5	4301
C0124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	NA	NA	NA	26-ene-24	2	4287
C0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	NA	NA	NA	26-ene-24	2	5093
C0126	1	Spectrogram 1	1	12.905.872.039	14.701.144.657	920.716	7.546.392	1.582.031	17.953	-37.19	vocal	drumming	during	bad	C0126.Table.1.selections.txt	26-ene-24	8	6186
C0126	2	Spectrogram 1	1	27.178.754.466	27.410.293.942	1.574.037	4.686.833	2.800.781	0.2315	-49.56	vocal	drumming	before		C0126.Table.1.selections.txt	26-ene-24	8	6186
C0126	3	Spectrogram 1	1	39.226.319.323	39.898.718.106	1.227.621	5.340.153	2.753.906	0.6724	-48.76	no vocal	drumming	NA		C0126.Table.1.selections.txt	26-ene-24	8	6186
C0127	1	Spectrogram 1	1	0.341948103	7.939.440.268	1.546.392	7.051.546	2.765.625	75.975	-50.92	vocal	drumming	during	med	C0127.Table.1.selections.txt	26-ene-24	4	3072
C0127	3	Spectrogram 1	1	14.726.487.388	1.646.762.152	1.731.959	5.319.588	2.542.969	17.411	-41.74	vocal	drumming	during	bad	C0127.Table.1.selections.txt	26-ene-24	4	3072
C0127	4	Spectrogram 1	1	20.434.219.509	2.116.940.793	1.484.536	5567.01	2.554.688	0.7352	-47.12	vocal	drumming	during	bad	C0127.Table.1.selections.txt	26-ene-24	4	3072
